Date;Open;High;Low;Close*;Adj Close**;Volume
Jun 06, 2022;120.08;121.38;118.56;120.57;120.57;20,488
Jun 05, 2022;121.35;121.89;118.76;119.51;119.51;16,523
Jun 02, 2022;118.26;121.44;116.08;119.72;119.72;11,028
Jun 01, 2022;115.82;118.44;112.48;117.61;117.61;22,117
May 31, 2022;116.63;118.58;115.43;116.29;116.29;21,546
May 30, 2022;119.47;124.13;119.36;122.84;122.84;1,138
May 29, 2022;-;-;-;-;-;-
May 26, 2022;117.54;119.73;116.68;119.43;119.43;4,384
May 25, 2022;114.45;118.00;113.84;117.40;117.40;11,59
May 24, 2022;113.92;115.32;113.04;114.03;114.03;12,885
May 23, 2022;113.36;114.63;111.72;113.56;113.56;20,941
May 22, 2022;112.74;114.36;111.86;113.42;113.42;20,66
May 19, 2022;111.50;113.22;110.54;112.55;112.55;16,942
May 18, 2022;109.30;112.27;105.70;112.04;112.04;26,098
May 17, 2022;112.89;114.13;108.35;109.11;109.11;21,217
May 16, 2022;114.29;115.66;111.12;111.93;111.93;23,254
May 15, 2022;111.41;114.78;109.04;114.24;114.24;20,871
May 12, 2022;108.00;111.69;107.81;111.55;111.55;25,05
May 11, 2022;107.56;108.69;104.69;107.45;107.45;27,037
May 10, 2022;101.70;108.26;100.93;107.51;107.51;31,56
May 09, 2022;105.56;106.91;101.70;102.46;102.46;25,904
May 08, 2022;113.05;113.22;104.95;105.94;105.94;28,134
May 05, 2022;111.15;113.52;109.88;112.39;112.39;23,902
May 04, 2022;110.14;113.99;109.23;110.90;110.90;26,443
May 03, 2022;106.10;111.00;105.50;110.14;110.14;21,158
May 02, 2022;107.37;108.30;104.62;104.97;104.97;23,41
May 01, 2022;109.36;109.36;109.36;109.36;109.36;23,606
Apr 28, 2022;107.65;109.77;107.65;109.34;109.34;55
Apr 27, 2022;104.76;107.93;103.30;107.59;107.59;8,567
Apr 26, 2022;105.37;106.35;103.27;105.32;105.32;8,064
Apr 25, 2022;102.57;106.15;101.12;104.99;104.99;13,279
Apr 24, 2022;105.74;105.95;99.47;102.32;102.32;15,464
Apr 21, 2022;108.64;108.73;105.53;106.65;106.65;11,04
Apr 20, 2022;107.01;109.79;106.78;108.33;108.33;13,203
Apr 19, 2022;107.72;108.98;104.67;106.80;106.80;15,985
Apr 18, 2022;112.65;114.05;106.77;107.25;107.25;18,972
Apr 17, 2022;111.89;114.82;110.72;113.16;113.16;13,187
Apr 13, 2022;108.37;112.39;106.64;111.70;111.70;17,418
Apr 12, 2022;104.98;109.00;104.07;108.78;108.78;22,26
Apr 11, 2022;99.25;105.60;98.98;104.64;104.64;22,697
Apr 10, 2022;103.07;103.09;97.62;98.48;98.48;23,852
Apr 07, 2022;101.69;103.25;99.71;102.78;102.78;16,735
Apr 06, 2022;102.15;103.50;98.45;100.58;100.58;19,577
Apr 05, 2022;105.79;108.66;100.54;101.07;101.07;20,212
Apr 04, 2022;108.24;109.85;104.56;106.64;106.64;15,613
Apr 03, 2022;104.25;108.55;102.91;107.53;107.53;18,406
Mar 31, 2022;107.67;107.67;107.67;107.67;107.67;17,144
Mar 30, 2022;108.71;109.36;107.37;107.91;107.91;31
Mar 29, 2022;111.00;114.65;110.90;113.45;113.45;4,472
Mar 28, 2022;109.73;114.71;104.98;110.23;110.23;7,152
Mar 27, 2022;120.31;120.31;109.06;112.48;112.48;15,212
Mar 24, 2022;118.28;120.87;115.21;120.65;120.65;14,026
Mar 23, 2022;121.27;123.70;116.95;119.03;119.03;12,778
Mar 22, 2022;114.74;122.29;114.42;121.60;121.60;14,286
Mar 21, 2022;116.85;119.42;112.77;115.48;115.48;14,222
Mar 20, 2022;107.37;116.73;107.09;115.62;115.62;11,62
Mar 17, 2022;107.24;109.57;105.80;107.93;107.93;10,489
Mar 16, 2022;98.10;107.57;97.88;106.64;106.64;15,091
Mar 15, 2022;99.04;103.68;96.95;98.02;98.02;18,514
Mar 14, 2022;106.00;106.46;97.50;99.91;99.91;26,067
Mar 13, 2022;112.90;113.04;103.45;106.90;106.90;19,364
Mar 11, 2022;109.72;113.88;107.13;112.67;112.67;18,819
Mar 10, 2022;112.74;118.33;108.95;109.33;109.33;30,414
Mar 09, 2022;129.57;131.63;108.00;111.14;111.14;42,74
Mar 08, 2022;124.25;133.13;121.37;127.98;127.98;38,358
Mar 07, 2022;121.24;137.00;119.07;123.21;123.21;29,504
Mar 04, 2022;110.58;118.97;109.61;118.11;118.11;34,984
Mar 03, 2022;114.25;119.77;109.42;110.46;110.46;37,42
Mar 02, 2022;107.54;115.05;106.49;112.93;112.93;59,273
Mar 01, 2022;100.85;100.85;100.85;100.85;100.85;56,428
Feb 28, 2022;100.48;104.48;99.90;100.99;100.99;448
Feb 25, 2022;99.65;101.99;96.00;97.93;97.93;7,025
Feb 24, 2022;97.56;105.75;97.49;99.08;99.08;21,282
Feb 23, 2022;96.63;98.70;95.80;96.84;96.84;33,549
Feb 22, 2022;94.28;99.44;92.56;96.84;96.84;59,945
Feb 18, 2022;92.98;94.15;90.26;93.54;93.54;42,436
Feb 17, 2022;92.09;94.51;91.82;92.97;92.97;38,045
